Sender,Message
0,quem ganhou?
0,deve parar de servir os trem
0,mais pra suco mesmo
0,que fazenda é essa
0,troquei pra the last of us
0,olha só
0,manin joao henrique pediu pra me seguir
0,a gente marcou semana que vem
0,quanto foi?
0,👏🏼👏🏼👏🏼
0,brabao!
0,iti
0,rafael viegas
0,👏🏼👏🏼
0,quinta: 7-17h
0,acabei agora
0,tô achando que vo de breaking bad memo
0,quase o mesmo
0,achei bonitao
0,rlx que tao acumulando!!
0,top
0,heheheheheh
0,a muie é uma loja🤣🤣🤣
0,que horas vcs vão sair?
0,henrique zerou física
0,pode ser
0,e meu cabelo?
0,sim
0,o mais pala
0,e a girl talk?
0,😢
0,nao entendi como esse negócio coleta todo o sangue
0,a maior epidemia que existe é do álcool
0,top
0,sem base
0,acabou de chegar
0,tenho carona
0,eai
0,descansar
0,😔
0,atendi um bebê de 1 ano e 2 meses
0,mas nao vou intrometer
0,mo famosa
0,top demais
0,manda foto
0,tá loca
0,af
0,show
0,esperar o café
0,kkkkkkkkkk
0,pediu o que?
0,vou sair já
0,uai
0,boa noite 😴
0,kkkkkkkk
0,dureza
0,unidade 1
0,vou agora
0,em casa?
0,mas vai passar jaja😁
0,acabei de comer aqui tb
0,espairecer a cabeça
0,boa
0,povo tá todo quebrado
0,tamo aqui no bernardo
0,to na biblioteca
0,ainda bem que não foram
0,20min
0,espaço aqui é legal
0,coincidência
0,kkkkkkkkkk
0,ce é loco
0,troca esse ai
0,comprou o que?
0,isso é com cera?
0,com batata pimentão tomate azeite
0,kkkkkkk
0,cada uma
0,esse é o mais difícil
0,sua mãe ta com vc?
0,kkkkkkkkkk
0,imunologia
0,ta friozinho
0,kisses baby
0,o que vc decidiu?
0,pqp
0,kkkkkkkkkkk
0,nop
0,kkkkkkkkkkkkk
0,😉
0,kakaakakakkakak
0,vamos chegar mais tarde no moema
0,kkkkkkkkkk
0,oi
0,fila do que?
0,tava fazendo um pão com ovo pro jantar
0,kkkkkkkkkk
0,ele
0,quinta feira ainda
0,"sabe o que é A1, A2, A3?"
0,okay
0,hello
0,quem indicou?
0,no kangoroo
0,nadou novinha no minas
0,muito top hein
0,caralho
0,não tem como ficar feio
0,até amanhã babe!🥰
0,minha mãe quer comprar umas roupas
0,kkkkkkkkk
0,vish
0,famoso no futebol
0,conta
0,dia 15 pela manha estarei tomando meu solzin
0,vou confirmar amanhã
0,viu
0,kkkkkkkkkkkkkkkk
0,inclusive ele vai pra inglaterra
0,que horas?
0,sentindo bastante😂🫶🏼
0,que?
0,onde?
0,kkkkkkkkkkkk
0,gordurosao
0,2x0
0,comendo uma marmitinha do rancho
0,mas da uma sensação melhor
0,vim comprar umas coisinhas
0,open the 🚪
0,bora ver
0,e vou continuar
0,nao
0,tá doida
0,igual vc citou os políticos
0,eba
0,kkkkkkk
0,kkkkkkkk
0,é gostoso
0,uai
0,kkkkkkk
0,acabei de acordar da soneca
0,vc adaptou a esse horário?
0,sobre reações e polímeros
0,bar do marcão?
0,kkkkkk
0,tipo quem?
0,pelos meus cálculos
0,deu ruim
0,nem eu
0,to na biblio ainda
0,o joao araujo passou em economia na unicamp e vai fazer ibmec?
0,pré marcado
0,ah nao
0,risoto de canastra com filé
0,vai com quem?
0,kkkkkkkkkkkkk
0,frio
0,vamo no bh shopping
0,delis
0,tamo indo levar meu irmao
0,vou manter os estudos aqui
0,a braba💪🏼
0,que pala
0,depende do dia tb
0,que eu postei
0,o que
0,kakakakkakakakak
0,nunca ouvi falar
0,sábias palavras babe
0,realmente
0,👏🏼👏🏼👏🏼
0,to dando uma descansada aqui
0,é o jeito
0,ele que me apresentou
0,🫶🏼
0,te amo pituquita!!!
0,boa
0,de fato
0,umas 18h te ligo
0,fiquei sem música
0,que isso
0,Segunda…
0,.
0,o jogo da champions?
0,vao pro p depois?
0,um prato feito lá
0,precisa ir pra garagem não
0,que horas vc acordou?
0,não
0,eu ia descobrir babe
0,fiquei com dó dela
0,😁
0,kkkkkkkk
0,e tinha que ser assim mesmo
0,kkkkkkkkkkkkkk
0,não me contive😝
0,perdão mozi
0,janeiro
0,top baby
0,não vou assistir nenhuma aula
0,que isso
0,dia bom
0,me manda seu gab de natureza depois por favor
0,seu celular só dá unavailable
0,vamos
0,melhor parar mesmo
0,kkkkkkk
0,adoro😋
0,e tô com minha calça da zara
0,ainda bem que joguei no lixo do carro
0,lembra da lays do masterchef?
0,nao
0,ta garrado
0,kkkkkkk
0,baby
0,nao
0,tem comida em casa não?
0,na califórnia
0,nada disso babe
0,hakuna batata
0,"mauricio, uber..."
0,pedir um ifood
0,provinha
0,te amo🫶🏼
0,faz nada direito
0,com café
0,a gente divide
0,tá de brincadeira
0,to lanchando agora
0,🥵
0,love you
0,que isso
0,vou pedir uber
0,ai sim
0,dara
0,sim
0,ta melhor?
0,kakakakakakkakakakak😍
0,tá machucada
0,eu todos os dias
0,só tem presunto parma
0,aprende o mesmo tanto
0,kakakakak
0,vamos almoçar agora
0,pala
0,é uma boa
0,é gostoso esse?
0,que isso baby
0,na vdd 2 ne
0,pq?
0,vc vai vim e ir direto pro olga?
0,eu que não gosto desse jeito
0,provavelmente
0,kkkkkkkkkkk
0,kkkkkkk
0,kkkkkkkkk
0,não estudei muito
0,quem mais do cursinho?
0,ta mimindo em casa?
0,oi
0,essa foi boa
0,dios mio
0,pqp
0,sei
0,para com isso babe
0,bom dia mo🫶🏼
0,vim almoçar no point
0,pode fazer considerando 25m
0,ta na area
0,kkkkkkkkkk
0,depois do processo seletivo lá
0,beijo
0,quanto vc pagou?
0,onde é isso?
0,delis
0,taxa de adesão vc quer dizer ne?
0,kkkkkkkkkkkkkkkkkk
0,que bom baby🥰
0,onde isso?
0,kkkkkkkkkk
0,nem peguei na câmera
0,tentando bater pouca perna
0,hum
0,a bunda fica na parte mais separada
0,tava um pouco agitado
0,leg day ontem + tênis 🎾 + 4km caminhando para cmmg
0,chegou já?
0,kkkkkkkkkkk
0,top
0,como vc sabe?
0,19h
0,o que...?
0,olha só
0,kkkkkkk
0,"‎Location: https://maps.google.com/?q=52.537838,13.204123"
0,já tão no cemitério?
0,açaí de 5 conto
0,férias enfim?
0,kkkkkkkk
0,mas o que vc quer dizer com isso?
0,kkkkkkkkkk
0,isso
0,sidney ou caca
0,me liga amanhã 6h ta?
0,caio
0,mostra a manga tb
0,comi a melhor marmita de todas do rancho hoje
0,maravilha
0,kkkkk
0,congratulations
0,de domingo-quarta
0,ja perdeu a noção dos dias
0,kkkkkkkk
0,acho que fica meio cedo
0,cury tá na soneca aqui
0,3h de metro?
0,chegou ai na casa dele?
0,pqp
0,fica tranquila aí baby
0,mentira
0,eai?
0,qual cartório eu vou?
0,e a caixa de som?
0,eu sei que consegue😂
0,kkkkkkkkkk
0,cara de chapada
0,as fotos tao no wpp
0,cabe todo mundo?
0,que mudança drástica
0,tendi
0,nossa
0,mas a partir do dia 14 eu não vou pra kart e essas coisas
0,mas eu amo é brincadeira
0,já tô em casa
0,parece bem antigão e tal
0,com linguiça picante?
0,kkkkkkkk
0,kkkkkkkkkkk
0,é grande ou pequeno?
0,sentindo sua falta😔
0,kkkkkkkkkk
0,bom resto de viagem
0,nossa
0,nop
0,como assim?
0,ajudo
0,comemo sanduiche ontem
0,sonhou que ficou full naked?
0,rlx
0,como foi?
0,mas ces não conseguem nem entrar ne
0,kkkkkkkkkkkkk
0,me atualiza dessa trip ai
0,kakakakkakakakkakakakaka
0,acabei de tomar banho
0,bom dia
0,top
0,tava dormindo pós almoço
0,ce é uma guerreira
0,tava meio sonolento ainda
0,kkkkkkkkkkk
0,😋
0,tô melhorando baby!
0,maior que uma caixa
0,caralho
0,manda foto do cabaço aí
0,top então
0,kkkkkkkkkk
0,😍
0,mas nao demorei tanto
0,kkkkkk
0,vc é foda
0,poise
0,kkkkkk
0,🥰
0,confirmou não
0,ou 20h
0,queria abrir de novo
0,for sure
0,saímos já!
0,hum
0,gostei😛
0,a camisa vc fala?
0,do jeito que vc ta
0,só vai encarecer não?
0,to na aula ainda
0,uai
0,que isso
0,graças a deus sou cmmg 😂🫶🏼
0,podemos conhecer
0,mas preguiça
0,bom dia ☀️
0,yay!!
0,e eu a outra metade
0,iti malia
0,nem eu to acreditando
0,durma bem🫶🏼
0,👏🏼
0,barraca do beijo 3 hoje?
0,no meu nem pediram
0,eu devo sair antes de anoitecer
0,💋
0,aí é ruim
0,[KEINE] Sweet Disposition (VXSION Remix).mp3 ‎document omitted
0,saindo de casa
0,ja vim direto pro restaurante
0,top
0,pq ela tirou?
0,ou vc prefere só a gente mesmo?
0,aham
0,o que vc acha esperado?
0,cheguei em casa agora
0,kkkkkkkkk
0,por aqui duas bananas com queijo e pasta de amendoim
0,vou esperar e ver se aparece uma melhor
0,ce tem payperview?
0,eita bbs
0,a mp tava querendo
0,oi
0,e nem tô afim tb
0,na sua
0,vou começar a ver umas 22h
0,deve tá tomando a muito tempo né
0,kkkkkkk
0,kkkkkkkkk
0,dengue não tem sintomas gripais geralmente
0,bom dia ☀️
0,quem te mandou?
0,tô indo pra casa então
0,ai realmente babe
0,armários
0,caminhoneiro ligando
0,e dormi
0,nao
0,show
0,caralho
0,problema não
0,😋
0,nu
0,te amo
0,kakakakakaka
0,senti muita falta
0,😁🫶🏼
0,tá acabando o 1 tempo aqui
0,ok
0,do café da manhã de la ‎<This message was edited>
0,kkkkkk
0,i have ma baby
0,trajado pra noitada
0,não conheço
0,ce já foi em guarapari?
0,acabei de chegar em casa
0,só o fato de vc andar de bicicleta pra lá e pra cá já é academia
0,tem outra tb
0,aula de português não dá pqp
0,uh
0,deu diferença ne
0,enjoy
0,top
0,e vc?
0,campolina?
0,mas eu vou na contorno
0,to na biblio
0,recebeu e-mail aí?
0,calmai
0,enzo tava devendo o pedro
0,kkjkkkkkkkkk
0,kkkkkkkkkkkk
0,espaço mo chique
0,kkkkkkkkkk
0,mobilidade urbana
0,ok
0,deve ter sido foda pra puxar
0,a noite vamos no olga
0,pode deixar
0,ah
0,é sério?
0,😄😄😄
0,vou comer meu pastel e vou embora
0,amanhã faço
0,.
0,pra eu descer
0,tem que acompanhar o ritmo😝
0,o bom dele é que sai no mesmo horários do dos seus pais
0,olha esse cara
0,vcs vão sair?
0,em 30?
0,fizemos proposta em um
0,não carrega
0,segunda
0,vai dormir
0,lavando louça
0,tao na contorno
0,tô esperando minhas esfihas
0,tem uns dias que não leio
0,kkkkkkkk
0,tá na sua carteira?
0,kkkkkk
0,tem prova
0,dei uma apagada de leve no sofá
0,corpo inteiro?
0,hoje é dia de conhecer a empresa
0,meu deus
0,tava gostoso?
0,pqp hein
0,escrevendo tudo errado
0,👍🏼
0,yes
0,pala
0,o cara so deixa sujo e pronto?
0,o bernardo mandou msg
0,to vendo
0,top 5 br
0,👍🏼😋
0,faz muito mal
0,em casa
0,vou mimir
0,kkkkkkkk
0,que vai ser nosso tema da apresentação amanha
0,queria mandar um sticker meu
0,to no cardio
0,fit demais
0,já tô no café
0,olha essa porra
0,https://youtu.be/N-AmUrU3pMs
0,sim
0,que horas vc vai querer assistir?
0,kkkkkkkk
0,se eu aparecer como convidado vou ser barrado?
0,"pq tem entrada, prato principal e sobremesa incluído"
0,sim
0,to na frente do a granel
0,vai da muito mais trabalho
0,esqueci de responder
0,um date de jovens
0,😔
0,😉
0,tem umas fotos no celular do seu pai até hoje
0,kkkkkk
0,melhoras baby
0,mais tarde vc compra mais
0,tá difícil
0,gostei
0,ce ja comentou algo?
0,não era ônibus?
0,kakkakakakaka
0,isso é muito chato
0,fazer umas mechas igual o jj
